code MARC Swissbib	Geonames ID
na	http://sws.geonames.org/8505032/
nbu	http://sws.geonames.org/6252001/
ncu	http://sws.geonames.org/6252001/
ndu	http://sws.geonames.org/6252001/
ne	http://sws.geonames.org/2750405/
nfc	http://sws.geonames.org/6251999/
ng	http://sws.geonames.org/2440476/
nhu	http://sws.geonames.org/6252001/
nik	http://sws.geonames.org/2635167/
nju	http://sws.geonames.org/6252001/
nkc	http://sws.geonames.org/6251999/
nl	http://sws.geonames.org/3017382/
nmu	http://sws.geonames.org/6252001/
nn	http://sws.geonames.org/2134431/
no	http://sws.geonames.org/3144096/
np	http://sws.geonames.org/1282988/
nq	http://sws.geonames.org/3617476/
nr	http://sws.geonames.org/2328926/
nsc	http://sws.geonames.org/6251999/
nu	http://sws.geonames.org/2110425/
nvu	http://sws.geonames.org/6252001/
nw	http://sws.geonames.org/6252001/
nyu	http://sws.geonames.org/6252001/
nz	http://sws.geonames.org/2186224/
ohu	http://sws.geonames.org/6252001/
oku	http://sws.geonames.org/6252001/
onc	http://sws.geonames.org/6251999/
oru	http://sws.geonames.org/6252001/
pau	http://sws.geonames.org/6252001/
pe	http://sws.geonames.org/3932488/
pf	http://sws.geonames.org/1814991/
pg	http://sws.geonames.org/2372248/
ph	http://sws.geonames.org/1694008/
pic	http://sws.geonames.org/6251999/
pk	http://sws.geonames.org/1168579/
pl	http://sws.geonames.org/798544/
pn	http://sws.geonames.org/3703430/
po	http://sws.geonames.org/2264397/
pp	http://sws.geonames.org/2088628/
pr	http://sws.geonames.org/6252001/
py	http://sws.geonames.org/3437598/
qa	http://sws.geonames.org/289688/
qea	http://sws.geonames.org/2077456/
quc	http://sws.geonames.org/6251999/
rb	http://sws.geonames.org/6290252/
re	http://sws.geonames.org/3017382/
rh	http://sws.geonames.org/878675/
riu	http://sws.geonames.org/6252001/
rm	http://sws.geonames.org/798549/
ru	http://sws.geonames.org/2017370/
rw	http://sws.geonames.org/49518/
sa	http://sws.geonames.org/953987/
sc	http://sws.geonames.org/3578476/
scu	http://sws.geonames.org/6252001/
sdu	http://sws.geonames.org/6252001/
se	http://sws.geonames.org/241170/
sf	http://sws.geonames.org/2410758/
sg	http://sws.geonames.org/2245662/
si	http://sws.geonames.org/1880251/
sj	http://sws.geonames.org/366755/
sl	http://sws.geonames.org/2403846/
sm	http://sws.geonames.org/3168068/
sn	http://sws.geonames.org/7609695/
snc	http://sws.geonames.org/6251999/
so	http://sws.geonames.org/51537/
sp	http://sws.geonames.org/2510769/
sq	http://sws.geonames.org/934841/
sr	http://sws.geonames.org/3382998/
st	http://sws.geonames.org/3578421/
stk	http://sws.geonames.org/2635167/
su	http://sws.geonames.org/102358/
sw	http://sws.geonames.org/2661886/
sx	http://sws.geonames.org/3355338/
sy	http://sws.geonames.org/163843/
sz	http://sws.geonames.org/2658434/
ta	http://sws.geonames.org/1220409/
tc	http://sws.geonames.org/2635167/
tg	http://sws.geonames.org/2363686/
th	http://sws.geonames.org/1605651/
ti	http://sws.geonames.org/2464461/
tk	http://sws.geonames.org/1218197/
tma	http://sws.geonames.org/2077456/
tnu	http://sws.geonames.org/6252001/
to	http://sws.geonames.org/4032283/
tr	http://sws.geonames.org/3573591/
ts	http://sws.geonames.org/290557/
tu	http://sws.geonames.org/298795/
tv	http://sws.geonames.org/2110297/
tw	http://sws.geonames.org/2110297/
txu	http://sws.geonames.org/6252001/
tz	http://sws.geonames.org/149590/
ua	http://sws.geonames.org/357994/
uc	http://sws.geonames.org/6252001/
ug	http://sws.geonames.org/226074/
uik	http://sws.geonames.org/2635167/
un	http://sws.geonames.org/690791/
up	http://sws.geonames.org/6252001/
utu	http://sws.geonames.org/6252001/
uv	http://sws.geonames.org/2361809/
uy	http://sws.geonames.org/3439705/
uz	http://sws.geonames.org/1512440/
vau	http://sws.geonames.org/6252001/
vb	http://sws.geonames.org/2635167/
vc	http://sws.geonames.org/3164670/
ve	http://sws.geonames.org/3625428/
vi	http://sws.geonames.org/6252001/
vm	http://sws.geonames.org/1562822/
vra	http://sws.geonames.org/2077456/
vtu	http://sws.geonames.org/6252001/
wau	http://sws.geonames.org/6252001/
wiu	http://sws.geonames.org/6252001/
wj	http://sws.geonames.org/6254930/
wlk	http://sws.geonames.org/2635167/
ws	http://sws.geonames.org/4034894/
wvu	http://sws.geonames.org/6252001/
wyu	http://sws.geonames.org/6252001/
xc	http://sws.geonames.org/1282028/
xd	http://sws.geonames.org/3575174/
xk	http://sws.geonames.org/3576468/
xm	http://sws.geonames.org/3577815/
xn	http://sws.geonames.org/718075/
xna	http://sws.geonames.org/2077456/
xo	http://sws.geonames.org/3057568/
xr	http://sws.geonames.org/3077311/
xra	http://sws.geonames.org/2077456/
xs	http://sws.geonames.org/2635167/
xv	http://sws.geonames.org/3190538/
xxc	http://sws.geonames.org/6251999/
xxk	http://sws.geonames.org/2635167/
xxr	http://sws.geonames.org/8354411/
xxu	http://sws.geonames.org/6252001/
ye	http://sws.geonames.org/69543/
yu	http://sws.geonames.org/8505033/
za	http://sws.geonames.org/895949/
